sep=,
DeviceTag:,3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3223721240,-0.050320,-0.773382,-0.002236,-0.631937,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3223737907,-0.050254,-0.773338,-0.002186,-0.631995,9.72113704681396,0.68486779928207,-1.98198533058167,-0.16850595176220,0.54289317131042,0.83951383829117
2,3223754574,-0.050215,-0.773294,-0.002118,-0.632053,9.65765762329102,0.75891703367233,-1.98951649665833,-0.05517615750432,0.56080281734467,0.75759804248810
3,3223771241,-0.050231,-0.773245,-0.002008,-0.632112,9.71965026855469,0.79043710231781,-1.95344829559326,-1.00169992446899,0.53875666856766,0.83579999208450
4,3223787908,-0.050336,-0.773200,-0.001835,-0.632159,9.68379211425781,0.74660724401474,-1.92342007160187,-1.44788587093353,0.45821765065193,0.71825051307678
5,3223804575,-0.050329,-0.773171,-0.001782,-0.632195,9.68917465209961,0.72732156515121,-1.87610721588135,-0.31953760981560,0.37062853574753,0.55861288309097
6,3223821242,-0.050302,-0.773159,-0.001772,-0.632213,9.68560695648193,0.77030092477798,-1.88025164604187,-0.10786148905754,0.21225242316723,0.43528786301613
7,3223837909,-0.050366,-0.773158,-0.001678,-0.632209,9.71788692474365,0.78068572282791,-1.87384974956512,-0.86424928903580,0.02533736079931,0.45472145080566
8,3223854576,-0.050450,-0.773171,-0.001568,-0.632187,9.69341468811035,0.75847929716110,-1.90478587150574,-1.14972853660583,-0.15302307903767,0.47012752294540
9,3223871243,-0.050509,-0.773180,-0.001483,-0.632171,9.70582389831543,0.77917379140854,-1.92794835567474,-0.98843246698380,-0.09921077638865,0.46960240602493
10,3223887910,-0.050570,-0.773196,-0.001383,-0.632146,9.68182945251465,0.81413000822067,-1.95076656341553,-0.90018391609192,-0.16354988515377,0.50174635648727
11,3223904577,-0.050610,-0.773205,-0.001297,-0.632133,9.72222137451172,0.81593549251556,-1.95109617710114,-0.81521385908127,-0.07491715252399,0.53222554922104
12,3223921244,-0.050741,-0.773195,-0.001121,-0.632134,9.69170379638672,0.81068325042725,-1.98005795478821,-1.76766669750214,0.04483503103256,0.64382636547089
13,3223937911,-0.050840,-0.773189,-0.000972,-0.632134,9.64274692535400,0.74424207210541,-1.98942506313324,-1.36323595046997,0.03523667156696,0.61464720964432
14,3223954578,-0.050940,-0.773177,-0.000835,-0.632142,9.62973976135254,0.80197519063950,-1.97934067249298,-1.17545640468597,0.13004207611084,0.52356839179993
15,3223971245,-0.051070,-0.773168,-0.000680,-0.632142,9.73586940765381,0.75694251060486,-1.92174041271210,-1.21329927444458,0.08154444396496,0.43804761767387
16,3223987912,-0.051120,-0.773156,-0.000634,-0.632152,9.76716995239258,0.70150625705719,-1.91844761371613,-0.81263327598572,0.14257308840752,0.31206509470940
17,3224004579,-0.051066,-0.773153,-0.000698,-0.632161,9.70731830596924,0.69774663448334,-1.93754625320435,0.38379347324371,0.14897626638412,0.14768281579018
18,3224021246,-0.050973,-0.773152,-0.000812,-0.632169,9.67803573608398,0.77878350019455,-1.99752986431122,0.78993403911591,0.15430371463299,0.05958795174956
19,3224037913,-0.050882,-0.773138,-0.000934,-0.632193,9.66877174377441,0.80760276317596,-2.01045274734497,0.81821048259735,0.29923313856125,0.00431573949754
20,3224054580,-0.050774,-0.773107,-0.001067,-0.632240,9.70798397064209,0.80325680971146,-1.99307405948639,1.20166468620300,0.51879167556763,-0.02004193887115
21,3224071247,-0.050647,-0.773067,-0.001211,-0.632299,9.67533016204834,0.79768395423889,-1.93672263622284,1.66748905181885,0.65026801824570,-0.05337046086788
22,3224087914,-0.050468,-0.773033,-0.001408,-0.632354,9.65355968475342,0.80968135595322,-1.91127455234528,1.53185701370239,0.57727181911469,0.01692999340594
23,3224104581,-0.050374,-0.773013,-0.001513,-0.632386,9.70243930816650,0.79824781417847,-1.87962090969086,0.84772270917892,0.36876523494720,0.09569544345140
24,3224121248,-0.050350,-0.773004,-0.001554,-0.632398,9.67951679229736,0.76299810409546,-1.86051106452942,0.10409640520811,0.17987158894539,0.14035119116306
25,3224137915,-0.050325,-0.773015,-0.001588,-0.632387,9.70465755462646,0.77518939971924,-1.87179052829742,0.06800811737776,-0.02853254601359,0.18925863504410
26,3224154582,-0.050304,-0.773033,-0.001607,-0.632367,9.72082614898682,0.82494533061981,-1.91978335380554,0.09203283488750,-0.10238676518202,0.21522991359234
27,3224171249,-0.050309,-0.773031,-0.001608,-0.632369,9.68411159515381,0.85749226808548,-1.95184028148651,-0.39224565029144,0.06626645475626,0.26316407322884
28,3224187916,-0.050343,-0.773040,-0.001549,-0.632356,9.66206836700439,0.80549776554108,-1.93944156169891,-0.46365389227867,-0.04803661257029,0.38356935977936
29,3224204583,-0.050369,-0.773056,-0.001524,-0.632334,9.73552322387695,0.76200038194656,-1.96422469615936,-0.35770058631897,-0.12170515209436,0.24785409867764
30,3224221250,-0.050307,-0.773078,-0.001546,-0.632312,9.69144344329834,0.73875504732132,-1.92693912982941,0.50049132108688,-0.11811295896769,0.34422826766968
31,3224237917,-0.050247,-0.773090,-0.001571,-0.632301,9.73167228698730,0.77866190671921,-1.96829795837402,0.50470465421677,-0.01365156937391,0.32450652122498
32,3224254584,-0.050276,-0.773087,-0.001533,-0.632303,9.67444896697998,0.81017190217972,-1.99387145042419,-0.44516149163246,0.08363185822964,0.31798803806305
33,3224271251,-0.050332,-0.773079,-0.001462,-0.632308,9.69244480133057,0.79712945222855,-1.94083631038666,-0.69299000501633,0.11545562744141,0.36479523777962
34,3224287918,-0.050310,-0.773079,-0.001451,-0.632311,9.66259002685547,0.78430515527725,-1.94494175910950,-0.03067120537162,0.08616752177477,0.39120197296143
